date,league,season,home_team,away_team,full_time_home_goals,full_time_away_goals,half_time_home_goals,half_time_away_goals,full_time_result,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home_win,odds_draw,odds_away_win
2016-08-20,ligue_1,2016-2017,Rennes,Nancy,2,0,1.0,0.0,H,H,9.0,8.0,3.0,1.0,11.0,8.0,3.0,7.0,4.0,2.0,0.0,0.0,2.1,3.25,3.8
2016-08-20,ligue_1,2016-2017,Toulouse,Bordeaux,4,1,2.0,0.0,H,H,11.0,9.0,5.0,2.0,19.0,14.0,3.0,6.0,1.0,3.0,0.0,1.0,2.3,3.2,3.25
2016-08-20,premier_league,2016-2017,West Brom,Everton,1,2,1.0,1.0,A,D,11.0,13.0,4.0,7.0,16.0,10.0,7.0,4.0,3.0,1.0,0.0,0.0,3.0,3.25,2.6
2016-08-20,premier_league,2016-2017,Watford,Chelsea,1,2,0.0,0.0,A,D,6.0,13.0,2.0,4.0,20.0,10.0,0.0,5.0,4.0,3.0,0.0,0.0,5.5,3.8,1.73
2016-08-20,premier_league,2016-2017,Tottenham,Crystal Palace,1,0,0.0,0.0,H,D,20.0,10.0,5.0,2.0,19.0,9.0,10.0,4.0,3.0,3.0,0.0,0.0,1.45,4.75,8.0
2016-08-20,liga,2016-2017,Sevilla,Espanol,6,4,3.0,3.0,H,D,16.0,10.0,11.0,7.0,8.0,15.0,8.0,2.0,2.0,2.0,0.0,0.0,1.67,4.0,5.0
2016-08-20,liga,2016-2017,Granada,Villarreal,1,1,0.0,0.0,D,D,7.0,12.0,1.0,3.0,17.0,11.0,7.0,3.0,2.0,3.0,0.0,0.0,2.5,3.2,3.0
2016-08-20,serie_a,2016-2017,Roma,Udinese,4,0,0.0,0.0,H,D,25.0,11.0,9.0,1.0,8.0,14.0,10.0,5.0,0.0,2.0,0.0,0.0,1.44,4.5,7.5
2016-08-20,premier_league,2016-2017,Burnley,Liverpool,2,0,2.0,0.0,H,H,3.0,26.0,2.0,5.0,14.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,6.5,4.2,1.57
2016-08-20,premier_league,2016-2017,Leicester,Arsenal,0,0,0.0,0.0,D,D,8.0,13.0,1.0,4.0,11.0,7.0,2.0,7.0,1.0,2.0,0.0,0.0,2.88,3.6,2.5
2016-08-20,premier_league,2016-2017,Stoke,Man City,1,4,0.0,2.0,A,A,8.0,12.0,3.0,6.0,12.0,13.0,7.0,7.0,3.0,4.0,0.0,0.0,5.5,3.8,1.73
2016-08-20,serie_a,2016-2017,Juventus,Fiorentina,2,1,1.0,0.0,H,H,19.0,4.0,4.0,1.0,11.0,16.0,3.0,1.0,1.0,3.0,0.0,0.0,1.5,4.2,7.0
2016-08-20,premier_league,2016-2017,Swansea,Hull,0,2,0.0,0.0,A,D,13.0,12.0,3.0,4.0,7.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,1.8,3.6,5.25
2016-08-21,ligue_1,2016-2017,Guingamp,Marseille,2,1,1.0,0.0,H,H,14.0,8.0,4.0,3.0,9.0,15.0,4.0,6.0,0.0,1.0,0.0,0.0,2.7,3.1,2.8
2016-08-21,serie_a,2016-2017,Chievo,Inter,2,0,0.0,0.0,H,D,12.0,13.0,4.0,3.0,15.0,13.0,4.0,8.0,2.0,4.0,0.0,0.0,3.75,3.3,2.1
2016-08-21,serie_a,2016-2017,Empoli,Sampdoria,0,1,0.0,1.0,A,A,8.0,15.0,3.0,5.0,17.0,32.0,2.0,5.0,3.0,4.0,1.0,0.0,2.3,3.2,3.3
2016-08-21,serie_a,2016-2017,Genoa,Cagliari,3,1,0.0,0.0,H,D,22.0,4.0,6.0,3.0,13.0,10.0,6.0,1.0,4.0,3.0,0.0,0.0,2.05,3.3,3.8
2016-08-21,serie_a,2016-2017,Milan,Torino,3,2,1.0,0.0,H,H,11.0,20.0,5.0,4.0,13.0,20.0,10.0,10.0,0.0,3.0,1.0,0.0,1.85,3.5,4.33
2016-08-21,serie_a,2016-2017,Palermo,Sassuolo,0,1,0.0,1.0,A,A,7.0,22.0,2.0,8.0,19.0,15.0,4.0,8.0,1.0,2.0,1.0,0.0,3.0,3.2,2.5
