semaine,n_matchs_resolus,accuracy_modele,log_loss_modele,log_loss_bookmaker,brier_modele,brier_bookmaker,n_correct_modele,n_avec_cote,n_correct_bookmaker,n_over_2_5,n_correct_over_2_5,n_btts,n_correct_btts,n_corners_9_5,n_correct_corners_9_5,n_yellow_4_5,n_correct_yellow_4_5,n_red_match,n_correct_red_match
2026-08-12,6,0.6666666666666666,1.0037434293680123,0.9092179121733018,0.6006031269281715,0.5322718625701747,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-17,41,0.6097560975609756,0.9522022552154308,0.9253521950344078,0.5647754598946466,0.5406865543228615,25.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-23,60,0.4333333333333333,0.994645726320005,0.9345653458441776,0.5918309833967665,0.5504856095369738,26.0,41.0,24.0,60.0,32.0,60.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-24,52,0.4230769230769231,1.0074477886574489,0.9628374523964565,0.5994475655276698,0.5711169966979007,22.0,37.0,20.0,52.0,26.0,52.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
